firstName,secondName,firstLastName,secondLastName,documentType,documentNumber,userType,merchantName,accountType,accountNumber,entityCode,signer,keyType,keyValue,spbvi,comentario
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""CEL""","""{{randomCel}}""","""TFY""",Caso de exito del proceso
"""""","""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""CEL""","""{{randomCel}}""","""TFY""",Validar campo firstName al enviarlo vacio
null,"""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""CEL""","""{{randomCel}}""","""TFY""",Validar campo firstName al enviarlo null
"""Giovany""","""""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""CEL""","""{{randomCel}}""","""TFY""",Validar campo secondName al enviarlo vacio
"""Giovany""",null,"""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""CEL""","""{{randomCel}}""","""TFY""",Validar campo secondName al enviarlo null
"""Giovany""","""Mauricio""","""""","""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""CEL""","""{{randomCel}}""","""TFY""",Validar campo firstLastName al enviarlo vacio
"""Giovany""","""Mauricio""",null,"""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""CEL""","""{{randomCel}}""","""TFY""",Validar campo firstLastName al enviarlo null
"""Giovany""","""Mauricio""","""cuellar""","""""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""CEL""","""{{randomCel}}""","""TFY""",Validar campo secondLastName al enviarlo vacio
"""Giovany""","""Mauricio""","""cuellar""",null,"""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""CEL""","""{{randomCel}}""","""TFY""",Validar campo secondLastName al enviarlo null
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PN""","""""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""CEL""","""{{randomCel}}""","""TFY""",Validar campo merchantName al enviarlo vacio
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PN""",null,"""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""CEL""","""{{randomCel}}""","""TFY""",Validar campo merchantName al enviarlo null
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""CC""","""123456789012345678""","""PN""",null,"""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""CEL""","""{{randomCel}}""","""TFY""",Validar el cambio de la longitud del campo de documento de idenitdad de 18 caracteres
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""CEL""","""{{randomCel}}""","""TFY""",Validar campos de salida presentados en el status 201
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""CEL""","""{{randomCel}}""","""TFY""",Validar campos de salida de la Entidad Financiera ACTIVE, IN
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PN""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""CEL""","""{{randomCel}}""","""TFY""",Validar campo numero de celular de 13 caracteres
"""Giovany""","""""","""""","""""","""CC""","""{{randomNumber}}""","""PJ""","""Validar campo nombre del cliente debe quedar de 140 caracteres alfanumericos RAZON SOCIAL Personas juridica arrojar codigo de respuesta  200""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""CEL""","""{{randomCel}}""","""TFY""",Validar campo merchantName de <=140 caracteres - Personas juridica
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumericValue}}""","""1031""","""{{$guid}}""","""CEL""","""{{randomCel}}""","""TFY""",Validar el numero de caracteres del campo de metodo de pago debe quedar de 34 caracteres numerico
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""PAS""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""CEL""","""{{randomCel}}""","""TFY""",Validar que en el campo tipo de identificación  se pueda agregar el valor de PAS Número de Pasaporte
